,time,low,high,open,close,volume
0,1645574400,2632.1,2655.4,2642.2,2653.4,64.17644139
1,1645573500,2636.2,2656.92,2656.23,2642.1,29.47257172
2,1645572600,2624.6,2655.8,2636.72,2652.6,44.81209648
3,1645571700,2619.4,2636.2,2620.6,2633.1,141.39835756
4,1645570800,2604.3,2625.1,2608.9,2625.1,75.47485303
5,1645569900,2601.0,2610.4,2610.4,2608.7,2.35217108
6,1645569000,2594.9,2609.4,2594.9,2609.4,11.03639418
7,1645568100,2591.9,2604.6,2601.72,2596.3,45.83539436
8,1645567200,2604.9,2614.48,2608.49,2604.9,13.04729232
9,1645566300,2602.17,2617.36,2616.39,2604.33,30.50332681
10,1645565400,2609.5,2622.63,2622.21,2618.62,29.28531175
11,1645564500,2612.17,2621.13,2621.08,2618.27,13.32928897
12,1645563600,2609.38,2621.08,2610.34,2621.08,38.68202205
13,1645562700,2592.54,2605.97,2598.04,2605.97,92.9047962
14,1645561800,2595.5,2617.89,2617.89,2597.88,138.65554018
15,1645560900,2613.43,2638.74,2635.27,2618.41,101.04191409
16,1645560000,2627.58,2648.34,2635.52,2634.19,134.74307085
17,1645559100,2605.9,2641.19,2607.81,2634.95,104.95792836
18,1645558200,2599.89,2630.16,2599.89,2607.81,50.90346039
19,1645557300,2590.48,2618.18,2601.72,2599.97,95.9121136
20,1645556400,2581.83,2599.1,2591.07,2599.1,41.05908824
21,1645555500,2590.0,2606.81,2605.48,2590.0,49.20164016
22,1645554600,2586.15,2614.41,2591.31,2602.68,77.16161361
23,1645553700,2586.38,2597.92,2596.17,2590.57,28.69717991
24,1645552800,2586.03,2600.35,2591.25,2597.08,81.70320656
25,1645551900,2593.1,2604.49,2593.11,2593.1,45.6385242
26,1645551000,2593.19,2604.27,2593.74,2594.44,30.2571474
27,1645550100,2583.77,2597.38,2590.17,2592.2,42.20845635
28,1645549200,2590.53,2613.79,2606.77,2590.53,36.66495835
29,1645548300,2593.1,2612.99,2597.14,2603.21,78.31237073
30,1645547400,2591.45,2600.12,2600.12,2597.51,36.01668181
31,1645546500,2588.48,2607.17,2596.45,2603.6,85.69337499
32,1645545600,2594.69,2635.46,2625.34,2594.69,134.25235225
33,1645544700,2619.81,2636.58,2634.22,2624.81,70.56665309
34,1645543800,2626.0,2650.81,2650.81,2634.0,36.24549518
35,1645542900,2638.74,2667.52,2638.74,2658.01,59.22287724
36,1645542000,2631.02,2646.57,2639.91,2645.17,98.11369998
37,1645541100,2614.95,2663.33,2616.84,2641.55,289.20787737
38,1645540200,2572.14,2616.17,2591.88,2616.17,93.49181481
39,1645539300,2584.92,2596.14,2590.35,2589.42,38.87186538
40,1645538400,2594.5,2616.71,2616.7,2594.5,42.96175027
41,1645537500,2590.64,2625.0,2598.36,2616.42,84.81806397
42,1645536600,2586.4,2596.11,2586.55,2595.21,54.1808175
43,1645535700,2577.2,2595.05,2583.77,2586.21,38.08620915
44,1645534800,2584.9,2603.8,2603.8,2584.9,85.88749806
45,1645533900,2596.78,2606.89,2605.93,2606.89,24.06652623
46,1645533000,2594.63,2610.41,2609.01,2604.49,143.13714435
47,1645532100,2598.45,2624.73,2601.53,2612.23,156.42450962
48,1645531200,2567.41,2601.49,2581.0,2600.97,66.46068388
49,1645530300,2580.69,2599.82,2593.46,2580.69,65.57881867
50,1645529400,2579.63,2594.93,2582.04,2594.82,80.62575155
51,1645528500,2580.0,2594.77,2585.14,2580.0,50.88947536
52,1645527600,2586.38,2605.82,2593.17,2586.38,42.94065913
53,1645526700,2587.44,2605.72,2593.5,2595.89,81.21510099
54,1645525800,2575.82,2604.89,2584.59,2596.58,100.77783525
55,1645524900,2556.59,2590.9,2559.12,2584.65,115.3887763
56,1645524000,2541.63,2560.52,2545.42,2558.95,46.02727344
57,1645523100,2544.62,2555.24,2548.81,2545.79,45.80492607
58,1645522200,2540.9,2558.52,2540.9,2547.61,110.04957156
59,1645521300,2537.77,2548.19,2545.85,2537.77,25.54268916
60,1645520400,2541.59,2551.23,2549.88,2550.3,42.49992332
61,1645519500,2531.37,2556.21,2538.7,2551.62,46.83524426
62,1645518600,2535.91,2542.16,2542.16,2540.23,42.59314798
63,1645517700,2529.47,2545.09,2533.78,2545.09,34.38487805
64,1645516800,2515.22,2540.7,2516.96,2534.17,58.21602188
